Reaction,EC number,Gibbs-0,KEGG,Reaction-Direction
RXN-9305,EC-1.3.8,-19.31546,,LEFT-TO-RIGHT
FCLEPIM-RXN,EC-5,0,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07059'>R07059</a>,
ALANINE-DEHYDROGENASE-RXN,EC-1.4.1.1,5.934662,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00396'>R00396</a>,REVERSIBLE
RXN-17790,EC-1.1.1.35,,,PHYSIOL-RIGHT-TO-LEFT
RXN-11891,EC-3.2.1.169,130.41156,,PHYSIOL-LEFT-TO-RIGHT
2.4.1.205-RXN,EC-2.4.1.205,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03679'>R03679</a>,
RXN-8075,EC-4.2.3,2.9100037,,LEFT-TO-RIGHT
RXN-13361,EC-1.1.1,1.9857788,,LEFT-TO-RIGHT
OCTANOL-DEHYDROGENASE-RXN,EC-1.1.1.73,2.5417938,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02878'>R02878</a>,
LINC-RXN,EC-1.1.1,4.121826,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05243'>R05243</a>,REVERSIBLE
RXN-8838,,3.7169952,,LEFT-TO-RIGHT
RXN-16596,EC-2.1.1,-2.8336792,,LEFT-TO-RIGHT
RXN-17237,EC-3.1.2.M1,,,LEFT-TO-RIGHT
RXN-9454,EC-4.2.3.141,-7.0729675,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08992'>R08992</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11748,EC-1.13.11,-73.48824,,PHYSIOL-LEFT-TO-RIGHT
RXN-10981,,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00645'>R00645</a>,LEFT-TO-RIGHT
RXN-9838,,26.922302,,
RXN-14711,EC-1.14.13,-93.1488,,PHYSIOL-LEFT-TO-RIGHT
ISOPROPANOL-DEHYDROGENASE-NADP+-RXN,EC-1.1.1.80,-1.9164429,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01550'>R01550</a>,REVERSIBLE
CYCLOHEXYLAMINE-OXIDASE-RXN,EC-1.4.3.12,-26.882988,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02233'>R02233</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-12720,EC-2.7.7.4,-65.17432,,LEFT-TO-RIGHT
RXN-12359,EC-6.2.1,-14.583984,,PHYSIOL-LEFT-TO-RIGHT
TYROSINE-AMINOTRANSFERASE-RXN,EC-2.6.1.57 // EC-2.6.1.5,-0.605896,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00734'>R00734</a>,REVERSIBLE
RXNQT-4359,,20.457748,,LEFT-TO-RIGHT
UBIQUITIN--PROTEIN-LIGASE-RXN,EC-6.2.1.45,-2.4406128,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03876'>R03876</a>,PHYSIOL-LEFT-TO-RIGHT
R543-RXN,EC-1.14.13.162,-94.56882,,PHYSIOL-LEFT-TO-RIGHT
RXN-15128,,12.145885,,
RXN-14599,|EC-3.2.1.z|,-9.339066,,PHYSIOL-LEFT-TO-RIGHT
RXN-8557,EC-4.2.3,-67.26999,,PHYSIOL-LEFT-TO-RIGHT
RXN-13036,EC-2.3.1.204,0,,LEFT-TO-RIGHT
RXN-15406,EC-2.4.1.331,6.897644,,LEFT-TO-RIGHT
3.2.1.44-RXN,EC-3.2.1.44,,,PHYSIOL-LEFT-TO-RIGHT
RXN-12234,EC-2.6.1,3.2199707,,REVERSIBLE
RXN-11425,,-25.09,,LEFT-TO-RIGHT
RXN-13179,EC-1.1.1.262,-0.76000977,,PHYSIOL-LEFT-TO-RIGHT
RXN-3461,EC-4.2.1,22.803003,,
RXN-17412,EC-1.1.1.392,,,
RXN-17059,,,,LEFT-TO-RIGHT
RXN-5424,EC-1.1.1.1,2.541809,,RIGHT-TO-LEFT
RXN-15577,,54.30149,,
RXN-15019,,-393.0542,,PHYSIOL-LEFT-TO-RIGHT
RXN-14298,EC-3.5.99,3.71698,,LEFT-TO-RIGHT
RXN3O-9780,EC-2.3.1,308.13354,,LEFT-TO-RIGHT
RXN-15909,EC-3.2.1.2,243.80939,,LEFT-TO-RIGHT
PLASMALOGEN-SYNTHASE-RXN,EC-2.3.1.25,325.06573,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03109'>R03109</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03109'>R03109</a>",
2-AMINOADIPATE-AMINOTRANSFERASE-RXN,EC-2.6.1.39,0.6999817,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01939'>R01939</a>,REVERSIBLE
RXN-12908,EC-2.1.1.245,37.2034,,REVERSIBLE
5.4.4.3-RXN,EC-5.4.4.3,-6.44,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06988'>R06988</a>,
3.5.2.18-RXN,EC-3.5.2.18,12.935768,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07984'>R07984</a>,LEFT-TO-RIGHT
RXN-9354,,-59.308716,,LEFT-TO-RIGHT
RXN-17098,EC-4.1.2.58,1.164093,,LEFT-TO-RIGHT
RXN1G-840,EC-2.3.1.M1,-6.862854,,LEFT-TO-RIGHT
RXN0-5455,EC-1.2.1,-15.645294,,LEFT-TO-RIGHT
RXN0-1402,,-25.99237,,LEFT-TO-RIGHT
RXN-2009,EC-3.1.2,-6.377136,,PHYSIOL-LEFT-TO-RIGHT
RXN-14749,EC-2.1.1,-8.720001,,PHYSIOL-LEFT-TO-RIGHT
RXN-12549,,,,REVERSIBLE
RXN-7773,EC-2.1.1.232,-4.3600006,,PHYSIOL-LEFT-TO-RIGHT
RXN-6724,EC-2.3.1.196,-5.2900696,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09528'>R09528</a>,LEFT-TO-RIGHT
OXALOMALATE-LYASE-RXN,EC-4.1.3.13,6.228241,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00477'>R00477</a>,
GLUCURONOLACTONE-REDUCTASE-RXN,EC-1.1.1.20,1.2935181,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03183'>R03183</a>,
RXN-16907,EC-1.1.1,23.084045,,LEFT-TO-RIGHT
RXN-10757,EC-3.5.1.101,-1.3630066,,
RXN-12879,EC-1.14.13.143,-95.940506,,PHYSIOL-LEFT-TO-RIGHT
2.6.1.70-RXN,EC-2.6.1.70,3.1958618,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00695'>R00695</a>,REVERSIBLE
RXN1G-607,EC-1.3.1.M4,34.414047,,RIGHT-TO-LEFT
BETA-DIKETONE-HYDROLASE-RXN,EC-3.7.1.7,-14.207123,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03781'>R03781</a>,
RXN-10093,EC-1.3.1,14.601807,,LEFT-TO-RIGHT
RXN-9875,EC-1.14.12,-100.8118,,PHYSIOL-LEFT-TO-RIGHT
RXN-902,EC-4.2.1.17,3.217041,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05599'>R05599</a>,RIGHT-TO-LEFT
RXN-12130,EC-1.7.2.4,34.26947,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02804'>R02804</a>,PHYSIOL-LEFT-TO-RIGHT
RXN66-343,EC-1.3.1.22,-3.8164673,,RIGHT-TO-LEFT
RXN-12757,EC-5.4.4.5,-14.84,,
RXN-17556,,,,PHYSIOL-LEFT-TO-RIGHT
RXN-13648,EC-2.7.7.84,-21.287476,,LEFT-TO-RIGHT
RXN-13342,|EC-1.14.13.dh|,-102.38049,,PHYSIOL-LEFT-TO-RIGHT
RHAMNISOM-RXN,EC-5.3.1.14,0.859993,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02437'>R02437</a>,REVERSIBLE
RXN-11930,EC-1.14.13,-89.898865,,PHYSIOL-LEFT-TO-RIGHT
RXN1G-469,EC-1.1.1.100,20.375793,,RIGHT-TO-LEFT
RXN-11924,,,,LEFT-TO-RIGHT
RXN-1121,,-91.90051,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07440'>R07440</a>,PHYSIOL-LEFT-TO-RIGHT
LYSOPHOSPHOLIPASE-RXN,EC-3.1.1.5,192.38416,"<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02746'>R02746</a>"" // ""<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07291'>R07291</a>",PHYSIOL-LEFT-TO-RIGHT
RXN-16071,EC-1.14.19.36,-56.579987,,PHYSIOL-LEFT-TO-RIGHT
RXN0-6483,EC-3.1.13.5,,,LEFT-TO-RIGHT
ACYL-COA-OXIDASE-RXN,EC-1.3.3.6,10.292236,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00388'>R00388</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-15445,,-55.372284,,LEFT-TO-RIGHT
RXN-9493,EC-3.1.1.94,-2.2088928,,PHYSIOL-LEFT-TO-RIGHT
RXN-16724,EC-2.3.1,-54.499573,,LEFT-TO-RIGHT
RXN-14085,EC-2.4.1,-10.836548,,LEFT-TO-RIGHT
RXN-8008,EC-1.21.3.6,,,PHYSIOL-LEFT-TO-RIGHT
RXN-13221,EC-1.1.99.38,-21.369995,,LEFT-TO-RIGHT
RXN-12416,,-97.86267,,
RXN1G-3993,EC-6.2.1,954.8402,,PHYSIOL-LEFT-TO-RIGHT
1.14.13.56-RXN,EC-1.14.13.56,-91.90051,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04702'>R04702</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-16535,EC-2.1.1,-4.359993,,LEFT-TO-RIGHT
RXN-5821,EC-1.4.3.4,-23.962994,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02382'>R02382</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11479,EC-2.3.1.41,-6.862915,,LEFT-TO-RIGHT
RXN-10924,,-210.94226,,PHYSIOL-LEFT-TO-RIGHT
RXN-15949,,1.5501518,,LEFT-TO-RIGHT
3.2.1.89-RXN,EC-3.2.1.89,,,PHYSIOL-LEFT-TO-RIGHT
RXN-8343,EC-1.14.19.46,-56.579994,,PHYSIOL-LEFT-TO-RIGHT
RXN1G-349,EC-1.1.1.100,20.375793,,RIGHT-TO-LEFT
RXN-16854,EC-2.8.2,8.145782,,PHYSIOL-LEFT-TO-RIGHT
CINNAMYL-ALCOHOL-DEHYDROGENASE-RXN,EC-1.1.1.195,-0.25646973,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03054'>R03054</a>,
6.3.2.29-RXN,EC-6.3.2.29,-102.93567,,PHYSIOL-LEFT-TO-RIGHT
RXN-3762,EC-1.14.13.52,-104.01947,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03006'>R03006</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11197,,,,LEFT-TO-RIGHT
DTDPGLUCOSEPP-RXN,EC-2.7.7.24,-103.30353,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02328'>R02328</a>,REVERSIBLE
RXNQT-4300,EC-2.8.1,-50.089294,,LEFT-TO-RIGHT
RXN-7817,EC-1.14.13.54,-99.320526,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02210'>R02210</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-15615,EC-1.1.1.374,-0.37823486,,
RXN1G-295,EC-2.3.1,-1665.2947,,LEFT-TO-RIGHT
2.4.1.116-RXN,EC-2.4.1.116,-5.2213135,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06819'>R06819</a>,
RXN-8505,EC-1.14.14.9,-68.05142,,PHYSIOL-LEFT-TO-RIGHT
RXN-10814,EC-2.6.1.1,-0.22587585,,REVERSIBLE
PROPANEDIOL-PHOSPHATE-DEHYDROGENASE-RXN,EC-1.1.1.7,1.0818481,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04236'>R04236</a>,
RXN1G-2544,EC-2.1.1.79,-37.892258,,PHYSIOL-LEFT-TO-RIGHT
TMAOREDUCT-RXN,EC-1.6.6.9,12.431183,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02559'>R02559</a>,
RXN-13818,EC-2.4.1,6.897583,,LEFT-TO-RIGHT
RXN-10062,EC-1.3.1.9,34.414062,,RIGHT-TO-LEFT
CALCIDIOL-1-MONOOXYGENASE-RXN,|EC-1.14.15.k|,-68.86052,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03610'>R03610</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-8783,EC-3.1.1.17,-6.347122,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02933'>R02933</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-11374,,-33.652256,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08468'>R08468</a>,PHYSIOL-LEFT-TO-RIGHT
RXN66-480,EC-6.2.1.3,-12.71167,,PHYSIOL-LEFT-TO-RIGHT
RXN0-2061,,-0.46295166,,LEFT-TO-RIGHT
RXN1G-171,EC-1.3.1.M4,34.414032,,RIGHT-TO-LEFT
RXN-11684,,2.4599915,,REVERSIBLE
RXN-13693,EC-3.2.1.149,-1.4330139,,PHYSIOL-LEFT-TO-RIGHT
RXN-713,EC-1.14.99,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07467'>R07467</a>,PHYSIOL-LEFT-TO-RIGHT
HYDROXYPYRROLINEDEH-RXN,EC-1.5.1,3.375824,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04444'>R04444</a>,
RXN-14246,,-25.538818,,
RXN-11251,,-39.48,,LEFT-TO-RIGHT
RXN-12919,EC-2.4.1,6.8977203,,LEFT-TO-RIGHT
RXN-16625,EC-2.3.1.41,-6.862915,,PHYSIOL-LEFT-TO-RIGHT
1.5.1.7-RXN,EC-1.5.1.7,4.5805664,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00715'>R00715</a>,LEFT-TO-RIGHT
RXN-10130,,9.6,,LEFT-TO-RIGHT
RXN1G-1117,EC-1.3.1.M4,34.414047,,RIGHT-TO-LEFT
RXN-14533,EC-5.4.99.59,0.24,,REVERSIBLE
RXN-17043,EC-1.14.13,-187.94122,,LEFT-TO-RIGHT
RXN-16418,EC-6.2.1.3,-14.584045,,LEFT-TO-RIGHT
RXN1A0-6297,EC-2.3.1,-129.15332,,LEFT-TO-RIGHT
RXN-12172,EC-3.2.1.171,292.49478,,PHYSIOL-LEFT-TO-RIGHT
GCVMULTI-RXN,,0.29180908,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01221'>R01221</a>,REVERSIBLE
RXN-14125,EC-4.2.3,7.2170105,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05086'>R05086</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-13398,EC-1.14.13.122,-185.90979,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R10080'>R10080</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-16557,EC-1.3.8.9,21.239792,,LEFT-TO-RIGHT
RXN-17350,EC-1.14.13.214,,,PHYSIOL-LEFT-TO-RIGHT
2.4.99.4-RXN,EC-2.4.99.4,-156.19214,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04590'>R04590</a>,LEFT-TO-RIGHT
RXN-16106,,-12.642273,,LEFT-TO-RIGHT
RXN0-724,EC-1.17.4.2,-28.601013,,RIGHT-TO-LEFT
1.14.19.3-RXN,EC-1.14.19.3,-73.37753,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03814'>R03814</a>,PHYSIOL-LEFT-TO-RIGHT
ISOVALERYLCOA-DHLIPOAMIDE-RXN,EC-2.3.1.168,-82.168945,,
RXN-14953,EC-5.4.4.7,-10.100002,,
RXN-8956,EC-2.6.1.84,0.084127426,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08197'>R08197</a>,REVERSIBLE
RXN-8394,,23.2155,,
RXN-13857,EC-1.14.19.12,-52.835285,,PHYSIOL-LEFT-TO-RIGHT
3.1.2.25-RXN,EC-3.1.2.25,-6.377136,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07294'>R07294</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-17504,EC-1.14.14.20,,,LEFT-TO-RIGHT
RXN-16898,EC-1.14.13.M9,-88.65051,,
ADPSUGPPHOSPHAT-RXN,EC-3.6.1.21,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03570'>R03570</a>,LEFT-TO-RIGHT
RXN0-5098,EC-6.3.1.20,-151.5263,,LEFT-TO-RIGHT
RXN-9284,EC-4.1.1,0.52423096,,LEFT-TO-RIGHT
RXN-11851,EC-1.14.13,-77.16055,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08173'>R08173</a>,PHYSIOL-LEFT-TO-RIGHT
ETHANOLAMINEPHOSPHOTRANSFERASE-RXN,EC-2.7.8.1,-76.90503,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02057'>R02057</a>,LEFT-TO-RIGHT
RXN-8050,,-92.33049,,PHYSIOL-LEFT-TO-RIGHT
GCVP-RXN,EC-1.4.4.2,-56.676727,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03425'>R03425</a>,REVERSIBLE
RXN-17773,EC-1.1.1.162,,,
LEUCPEL-RXN,EC-1.14.11.19,-147.8871,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04276'>R04276</a>,PHYSIOL-LEFT-TO-RIGHT
2.4.1.178-RXN,EC-2.4.1.178,6.897583,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02709'>R02709</a>,LEFT-TO-RIGHT
RXN-16575,EC-1.14.21,-134.49753,,LEFT-TO-RIGHT
NUCLEOSIDE-OXIDASE-RXN,EC-1.1.3.28,-113.9811,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05821'>R05821</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-944,,,,LEFT-TO-RIGHT
RXN-8822,,9.432312,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09236'>R09236</a>,LEFT-TO-RIGHT
RXN-10964,EC-3.6.1.52,-0.5718994,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05779'>R05779</a>,
RXN-16285,EC-1.1.1.385,-0.37820435,,LEFT-TO-RIGHT
RXN-9921,EC-3.1.3,-3.0541382,,PHYSIOL-LEFT-TO-RIGHT
RXN-14694,EC-1.8.1.19,,,
RXN-11730,EC-3.5.99.8,3.7170029,,LEFT-TO-RIGHT
CROBETRED-RXN,EC-1.3.99,,,
RXN-9822,,6.897583,,LEFT-TO-RIGHT
RXN-12339,EC-3.5.1.109,491.9267,,LEFT-TO-RIGHT
ISOBUTYRYL-COA-MUTASE-RXN,EC-5.4.99.13,1.81,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01181'>R01181</a>,
RXNQT-4343,,,,PHYSIOL-LEFT-TO-RIGHT
RXN-12701,EC-1.14.13.141,-89.89882,,PHYSIOL-LEFT-TO-RIGHT
RXN-15110,EC-1.14.13.185,-91.88049,,PHYSIOL-LEFT-TO-RIGHT
TRYPTOPHAN-2-MONOOXYGENASE-RXN,EC-1.13.12.3,-116.59701,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00679'>R00679</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-8540,EC-4.2.3.58,-82.850006,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08542'>R08542</a>,PHYSIOL-LEFT-TO-RIGHT
R462-RXN,,,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05564'>R05564</a>,PHYSIOL-LEFT-TO-RIGHT
3.2.1.18-RXN,EC-3.2.1.18,,,PHYSIOL-LEFT-TO-RIGHT
RXN-14577,,-37.123047,,PHYSIOL-LEFT-TO-RIGHT
RXN-11410,,-118.30707,,LEFT-TO-RIGHT
RXN-9661,EC-1.3.1.9,34.414032,,PHYSIOL-RIGHT-TO-LEFT
RXN-15387,,-272.99103,,
YIAE1-RXN,EC-1.1.1,2.293457,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R08879'>R08879</a>,RIGHT-TO-LEFT
RXN-12217,EC-3.1.3,,,PHYSIOL-LEFT-TO-RIGHT
RXN-13162,EC-2.5.1.21,-16.970642,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06223'>R06223</a>,LEFT-TO-RIGHT
RXN-9437,EC-2.4.1,19.016602,,LEFT-TO-RIGHT
RXN-17394,,,,
RXN-14282,EC-3.2.1.20,-3.113037,,PHYSIOL-LEFT-TO-RIGHT
RXN-15891,,4.3569946,,LEFT-TO-RIGHT
RXN-5242,,-99.6275,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R06292'>R06292</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-14691,EC-1.6.3.3,-28.981812,,PHYSIOL-LEFT-TO-RIGHT
RXN-15002,EC-6.3.2.43,-90.5531,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09775'>R09775</a>,PHYSIOL-LEFT-TO-RIGHT
11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN,EC-1.1.1.146,18.915771,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03203'>R03203</a>,
RXN-9604,,477.2386,,LEFT-TO-RIGHT
RXN-15866,EC-2.5.1.128,-54.390564,,
RXN-12336,EC-5.4.4.4,-3.33,,REVERSIBLE
3.1.3.40-RXN,EC-3.1.3.40,5.96875,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R03496'>R03496</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-17081,EC-2.3.1,-6.538269,,PHYSIOL-LEFT-TO-RIGHT
5.1.3.17-RXN,EC-5.1.3.17,0,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R04389'>R04389</a>,REVERSIBLE
RXN-15107,EC-1.14.13.185,-90.460526,,PHYSIOL-LEFT-TO-RIGHT
RXN-9337,,46.374123,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R09088'>R09088</a>,LEFT-TO-RIGHT
RXN-14727,EC-3.5.1.4,-6.507126,,
RXN-15779,EC-6.2.1,-94.88074,,LEFT-TO-RIGHT
RXN0-5383,EC-2.7.4.29,-4.992859,,PHYSIOL-LEFT-TO-RIGHT
3.2.1.164-RXN,EC-3.2.1.164,,,PHYSIOL-LEFT-TO-RIGHT
RXN-1826,EC-2.4.1.1,,,
GLUCOSAMINEPNACETYLTRANS-RXN,EC-2.3.1.4,-6.538269,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02058'>R02058</a>,LEFT-TO-RIGHT
RXN-9548,EC-3.1.2.14,342.841,,PHYSIOL-LEFT-TO-RIGHT
RXN-7749,,-6.47287,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R07190'>R07190</a>,LEFT-TO-RIGHT
RXN-3166,,-2.767128,,LEFT-TO-RIGHT
ORNITHINE-N-BENZOYLTRANSFERASE-RXN,EC-2.3.1.127,-11.204224,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00664'>R00664</a>,
2.6.1.35-RXN,EC-2.6.1.35,-0.2758789,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R00373'>R00373</a>,REVERSIBLE
RXN-10738,,0.9917908,,
PHOSPHOAMIDASE-RXN,EC-3.9.1.1,19.397003,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R01882'>R01882</a>,PHYSIOL-LEFT-TO-RIGHT
RXN-9002,EC-2.4.1,7.175812,,LEFT-TO-RIGHT
RXN-15564,,4.981121,,LEFT-TO-RIGHT
BAIAEUBSP-RXN,|EC-1.1.1.dd|,-10.649414,,LEFT-TO-RIGHT
3.5.1.77-RXN,EC-3.5.1.77,3.3611298,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R02190'>R02190</a>,
RXN-9857,,7.3887634,<a href='http://www.genome.jp/dbget-bin/www_bget?rn:R05511'>R05511</a>,LEFT-TO-RIGHT
RXN-17538,EC-3.1.3,,,LEFT-TO-RIGHT
RXN-9524,EC-2.3.1.86 // EC-2.3.1.85 // EC-1.1.1.100,20.375793,,RIGHT-TO-LEFT
