ID,NAME,REACTION,EC,GPR,LOWER.BOUND,UPPER.BOUND,OBJECTIVE,COMPARTMENT,SUBSYSTEM
R00245,L-Glutamate 5-semialdehyde:NAD+ oxidoreductase,H2O[c] + NAD+[c] + L-Glutamate 5-semialdehyde[c] => NADH[c] + L-Glutamate[c] + H+[c],1.5.1.12,( 102588923 ),0,1000,NA,c,Arginine and proline metabolism
R00557,"L-Arginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)",3 NADPH[c] + 4 Oxygen[c] + 2 L-Arginine[c] + 3 H+[c] => 4 H2O[c] + 3 NADP+[c] + 2 L-Citrulline[c] + 2 Nitric oxide[c],1.14.13.39,( 102577659 ),0,1000,NA,c,Arginine and proline metabolism
R00667,L-Ornithine:2-oxo-acid aminotransferase,2-Oxoglutarate[c] + L-Ornithine[c] <=> L-Glutamate[c] + L-Glutamate 5-semialdehyde[c],2.6.1.13,( 102582999 ),-1000,1000,NA,c,Arginine and proline metabolism
R00670,L-ornithine carboxy-lyase (putrescine-forming),L-Ornithine[c] => CO2[c] + Putrescine[c],4.1.1.17,( 102584472 ),0,1000,NA,c,Arginine and proline metabolism
R00671,L-ornithine ammonia-lyase (cyclizing; L-proline-forming),L-Ornithine[c] <=> NH3[c] + L-Proline[c],4.3.1.12,NA,-1000,1000,NA,c,Arginine and proline metabolism
R00774,Urea:carbon-dioxide ligase (ADP-forming),ATP[c] + Urea[c] + HCO3-[c] <=> ADP[c] + Orthophosphate[c] + Urea-1-carboxylate[c],6.3.4.6,NA,-1000,1000,NA,c,Arginine and proline metabolism
R01248,L-Proline:NAD+ 5-oxidoreductase,NAD+[c] + L-Proline[c] <=> NADH[c] + H+[c] + (S)-1-Pyrroline-5-carboxylate[c],1.5.1.2,( 102593772 ),-1000,1000,NA,c,Arginine and proline metabolism
R01251,L-Proline:NADP+ 5-oxidoreductase,NADP+[c] + L-Proline[c] <=> NADPH[c] + H+[c] + (S)-1-Pyrroline-5-carboxylate[c],1.5.1.2,( 102593772 ),-1000,1000,NA,c,Arginine and proline metabolism
R01252,"L-Proline,2-oxoglutarate:oxygen oxidoreductase (4-hydroxylating)",Oxygen[c] + 2-Oxoglutarate[c] + L-Proline[c] => CO2[c] + Succinate[c] + trans-4-Hydroxy-L-proline[c],1.14.11.2,( 102580816 and 102578911 and 102596044 and 102605813 and 102591988 and 102603525 and 102591537 and 102581670 and 102579923 and 102599198 and 102587844 and 102593414 and 102604428 ),0,1000,NA,c,Arginine and proline metabolism
R01253,L-proline:(acceptor) oxidoreductase,Acceptor[c] + L-Proline[c] <=> Reduced acceptor[c] + (S)-1-Pyrroline-5-carboxylate[c],1.5.99.8,NA,-1000,1000,NA,c,Arginine and proline metabolism
R01398,Carbamoyl-phosphate:L-ornithine carbamoyltransferase,L-Ornithine[c] + Carbamoyl phosphate[c] => Orthophosphate[c] + L-Citrulline[c],2.1.3.3,( 102591304 and 102598576 ),0,1000,NA,c,Arginine and proline metabolism
R02282,N2-Acetyl-L-ornithine:L-glutamate N-acetyltransferase,L-Glutamate[c] + N-Acetylornithine[c] <=> L-Ornithine[c] + N-Acetyl-L-glutamate[c],2.3.1.35,( 102586102 ),-1000,1000,NA,c,Arginine and proline metabolism
R03291,trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase,NAD+[c] + trans-4-Hydroxy-L-proline[c] <=> NADH[c] + H+[c] + L-1-Pyrroline-3-hydroxy-5-carboxylate[c],1.5.1.2,( 102593772 ),-1000,1000,NA,c,Arginine and proline metabolism
R03293,trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase,NADP+[c] + trans-4-Hydroxy-L-proline[c] <=> NADPH[c] + H+[c] + L-1-Pyrroline-3-hydroxy-5-carboxylate[c],1.5.1.2,( 102593772 ),-1000,1000,NA,c,Arginine and proline metabolism
R03313,L-glutamate-5-semialdehyde:NADP+ 5-oxidoreductase (phosphorylating),NADP+[c] + Orthophosphate[c] + L-Glutamate 5-semialdehyde[c] <=> NADPH[c] + H+[c] + L-Glutamyl 5-phosphate[c],1.2.1.41,( 102582423 and 102594541 ),-1000,1000,NA,c,Arginine and proline metabolism
R04444,L-1-Pyrroline-3-hydroxy-5-carboxylate:NAD+ oxidoreductase,2 H2O[c] + NAD+[c] + L-1-Pyrroline-3-hydroxy-5-carboxylate[c] <=> NADH[c] + H+[c] + L-erythro-4-Hydroxyglutamate[c],1.5.1.12     1.2.1.88,( 102588923 ),-1000,1000,NA,c,Arginine and proline metabolism
R04445,L-1-Pyrroline-3-hydroxy-5-carboxylate:NADP+ oxidoreductase,2 H2O[c] + NADP+[c] + L-1-Pyrroline-3-hydroxy-5-carboxylate[c] <=> NADPH[c] + H+[c] + L-erythro-4-Hydroxyglutamate[c],1.5.1.12     1.2.1.88,( 102588923 ),-1000,1000,NA,c,Arginine and proline metabolism
R05050,N4-Acetylaminobutanal:NAD+ oxidoreductase,H2O[c] + NAD+[c] + N4-Acetylaminobutanal[c] => NADH[c] + H+[c] + 4-Acetamidobutanoate[c],1.2.1.3,( 102591315 and 102591095 and 102587253 and 102601322 and 102588058 and 102597448 and 102594797 and 102596127 ) or ( 102598345 ),0,1000,NA,c,Arginine and proline metabolism
R04443,,L-1-Pyrroline-3-hydroxy-5-carboxylate[c] + H2O[c] <=> L-4-Hydroxyglutamate semialdehyde[c],,NA,-1000,1000,NA,c,Arginine and proline metabolism
R05052,L-erythro-4-hydroxyglutamate:2-oxoglutarate aminotransferase,2-Oxoglutarate[c] + L-erythro-4-Hydroxyglutamate[c] <=> L-Glutamate[c] + D-4-Hydroxy-2-oxoglutarate[c],2.6.1.1         2.6.1.23,( 102605614 ) or ( 102579446 and 102589321 ) or ( 102591539 and 102605189 ),-1000,1000,NA,c,Arginine and proline metabolism
R00286,UDP-glucose:NAD+ 6-oxidoreductase,UDP-glucose[c] + H2O[c] + 2 NAD+[c] => UDP-glucuronate[c] + 2 NADH[c] + 2 H+[c],1.1.1.22,( 102604264 and 102598804 and 102590919 and 102579334 ),0,1000,NA,c,Ascorbate and aldarate metabolism
R02957,D-Glucuronolactone:NAD+ oxidoreductase,2 H2O[c] + NAD+[c] + D-Glucuronolactone[c] => NADH[c] + H+[c] + D-Glucarate[c],1.2.1.3,( 102591315 and 102591095 and 102587253 and 102601322 and 102588058 and 102597448 and 102594797 and 102596127 ) or ( 102598345 ),0,1000,NA,c,Ascorbate and aldarate metabolism
R07673,,GDP-L-gulose[c] <=> GDP-L-galactose[c],5.1.3.-,( 102582256 and 102577923 ),-1000,1000,NA,c,Ascorbate and aldarate metabolism
R00889,"GDP-mannose 3,5-epimerase",GDP-mannose[c] <=> GDP-L-galactose[c],5.1.3.18,( 102582256 and 102577923 ),-1000,1000,NA,c,Ascorbate and aldarate metabolism
R01976,(S)-3-Hydroxybutanoyl-CoA:NADP+ oxidoreductase,NADP+[c] + (S)-3-Hydroxybutanoyl-CoA[c] <=> NADPH[c] + H+[c] + Acetoacetyl-CoA[c],1.1.1.157,( 102593138 ),-1000,1000,NA,c,Butanoate metabolism
R07422,,NADPH[c] + Oxygen[c] + H+[c] + 3-Hydroxyindolin-2-one[c] => H2O[c] + NADP+[c] + HBOA[c],1.14.13.139,NA,0,1000,NA,c,
R00489,L-aspartate 1-carboxy-lyase (beta-alanine-forming),L-Aspartate[c] => CO2[c] + beta-Alanine[c],4.1.1.11        4.1.1.15,( 102594980 and 102581388 and 102578660 and 102581196 and 102596221 and 102600041 ),0,1000,NA,c,beta-Alanine metabolism
R00924,"Propanoyl-CoA:(acceptor) 2,3-oxidoreductase",FAD[c] + Propanoyl-CoA[c] <=> Propenoyl-CoA[c] + FADH2[c],1.3.99.3,( 102592751 and 102587144 ),-1000,1000,NA,c,beta-Alanine metabolism
R03045,3-Hydroxypropionyl-CoA hydro-lyase,3-Hydroxypropionyl-CoA[c] <=> H2O[c] + Propenoyl-CoA[c],4.2.1.17        4.2.1.116,NA,-1000,1000,NA,c,beta-Alanine metabolism
R03158,,CoA[c] + 3-Hydroxypropanoate[c] <=> H2O[c] + 3-Hydroxypropionyl-CoA[c],3.1.2.4,( 102588578 and 102588338 and 102580445 and 102597660 and 102594320 and 102587693 and 102598643 and 102591947 and 102602750 and 102592236 and 102586275 and 102587372 and 102606353 and 102594263 and 102579872 ),-1000,1000,NA,c,beta-Alanine metabolism
R01078,dethiobiotin:sulfur sulfurtransferase,2 S-Adenosyl-L-methionine[c] + 2 H+[c] + Dethiobiotin[c] + 2 e-[c] + Sulfur donor[c] <=> 2 L-Methionine[c] + Biotin[c] + 2 5'-Deoxyadenosine[c],2.8.1.6,( 102591782 ),-1000,1000,NA,c,Biotin metabolism
R03210,6-Carboxyhexanoyl-CoA:L-alanine C-carboxyhexanoyltransferase (decarboxylating),L-Alanine[c] + 6-Carboxyhexanoyl-CoA[c] <=> CoA[c] + CO2[c] + 8-Amino-7-oxononanoate[c],2.3.1.47,( 102588612 ),-1000,1000,NA,c,Biotin metabolism
R07429,"Campest-4-en-3-one,NADPH:steroid 5alpha-reductase",NADPH[c] + Campest-4-en-3-one[c] => NADP+[c] + 5alpha-Campestan-3-one[c],1.3.1.22,( 102600919 and 102583495 ),0,1000,NA,c,Brassinosteroid biosynthesis
R07431,6-Deoxo-cathasterone:brassinosteroid C23alpha-hydroxylase,Oxygen[c] + Reduced acceptor[c] + Cathasterone[c] <=> H2O[c] + Acceptor[c] + Teasterone[c],1.14.-.-,( 102598106 ) or ( 102582597 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
R07444,Teasterone:brassinosteroid C3-oxidoreductase,Teasterone[c] <=> 3-Dehydroteasterone[c],1.14.-.-,NA,-1000,1000,NA,c,Brassinosteroid biosynthesis
R07447,"22alpha-Hydroxy-campest-4-en-3-one,NADPH:steroid 5alpha-reductase",NADPH[c] + 22alpha-Hydroxy-campest-4-en-3-one[c] <=> NADP+[c] + 22alpha-Hydroxy-5alpha-campestan-3-one[c],1.3.99.-,( 102600919 and 102583495 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
R07448,6-Deoxocathasterone:brassinosteroid C23alpha-hydroxylase,Oxygen[c] + 6-Deoxocathasterone[c] <=> H2O[c] + 6-Deoxoteasterone[c],1.14.-.-,( 102598106 ) or ( 102582597 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
R07449,6-Deoxoteasterone:brassinosteroid C3-oxidoreductase,6-Deoxoteasterone[c] <=> 3-Dehydro-6-deoxoteasterone[c],1.14.-.-,NA,-1000,1000,NA,c,Brassinosteroid biosynthesis
R07450,6-Deoxocastasterone:brassinosteroid C6-oxidase,Oxygen[c] + 6-Deoxocastasterone[c] => H2O[c] + 6alpha-Hydroxy-castasterone[c],1.14.-.-,( 102603315 and 102599687 ),0,1000,NA,c,Brassinosteroid biosynthesis
R07451,,6alpha-Hydroxy-castasterone[c] => Castasterone[c],1.14.-.-,( 102603315 and 102599687 ),0,1000,NA,c,Brassinosteroid biosynthesis
R07471,,Castasterone[c] <=> Brassinolide[c],1.14.-.-,( 102603315 and 102599687 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
R07791,"3-epi-6-deoxocathasterone,NADPH:oxygen oxidoreductase (C-23-hydroxylating)",22alpha-Hydroxy-5alpha-campestan-3-one[c] <=> 3-Dehydro-6-deoxoteasterone[c],1.14.13.112,( 102598106 ) or ( 102582597 ),-1000,1000,NA,c,Brassinosteroid biosynthesis
RK0002,,22alpha-Hydroxy-5alpha-campestan-3-one[c] <=> 3-epi-6-Deoxocathasterone[c],,NA,-1000,1000,NA,c,Brassinosteroid biosynthesis
R07977,"1,7-dimethylxanthine:oxygen oxidoreductase","H2O[c] + Oxygen[c] + 1,7-Dimethylxanthine[c] => Hydrogen peroxide[c] + 1,7-Dimethyluric acid[c]",1.17.3.2,( 102596284 ),0,1000,NA,c,Caffeine metabolism
R07981,,"2 H2O[c] + Oxygen[c] + 1,3,7-Trimethyluric acid[c] <=> CO2[c] + Hydrogen peroxide[c] + 3,6,8-Trimethylallantoin[c]",1.7.3.3,( 102581180 ),-1000,1000,NA,c,Caffeine metabolism
R00024,"3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)","H2O[c] + CO2[c] + D-Ribulose 1,5-bisphosphate[c] => 2 3-Phospho-D-glycerate[c]",4.1.1.39,( 4099985 ) or ( 102580042 and 102577450 and 102600888 and 102601229 and 102605737 ),0,1000,NA,c,Carbon fixation in photosynthetic organisms
R01829,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","Glycerone phosphate[c] + D-Erythrose 4-phosphate[c] => Sedoheptulose 1,7-bisphosphate[c]",4.1.2.13,( 102577529 and 102577738 and 102577842 and 102606020 and 102577880 and 102577677 and 102577667 and 102580344 ),0,1000,NA,c,Carbon fixation in photosynthetic organisms
R01845,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase","H2O[c] + Sedoheptulose 1,7-bisphosphate[c] => Orthophosphate[c] + Sedoheptulose 7-phosphate[c]",3.1.3.11        3.1.3.37,( 102583431 ),0,1000,NA,c,Carbon fixation in photosynthetic organisms
RK0004,photophosphorylation cyclic (light reaction),7 Photon[c] + 3 ADP[c] + 3 Orthophosphate[c] => 3 ATP[c], 3.6.3.14     1.10.9.1, 102577864 and 4099984 ) or ( 102582778 and 102591413 ) or ( 102599894 and   102603549 and  102584460 ) or ( 4099854 ) or ( 102577449 ),0,1000,NA,c,Photosynthesis
RK0005,photophosphorylation noncyclic (light reaction),28 Photon[c] + 9 ADP[c] + 7 NADP+[c] + 9 Orthophosphate[c] + 9 H2O[c] => 7 Oxygen[c] + 7 H+[c] + 7 NADPH[c] + 9  ATP[c],1.18.1.2     3.6.3.14     1.10.9.1,( 102579187 and 102579393 and 102583485 and 102591399) or ( 102577864 and 4099984 ) or ( 102582778 and 102591413 ) or ( 102599894 and   102603549 and  102584460 ) or ( 4099854 ) or ( 102577449 ),0,1000,NA,c,Photosynthesis
R07916,geranylgeranyl-diphosphate:geranylgeranyl-diphosphate geranylgeranyltransferase,2 Geranylgeranyl diphosphate[c] => 2 Diphosphate[c] + Phytoene[c],2.5.1.32,NA,0,1000,NA,c,Carotenoid biosynthesis
R00342,(S)-malate:NAD+ oxidoreductase,NAD+[c] + (S)-Malate[c] <=> NADH[c] + Oxaloacetate[c] + H+[c],1.1.1.37,( 102577663 and 102585937 ) or ( 102606140 and 102586760 and 102595203 and 102586271 and 102598930 and 102594993 and 102601823 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00351,acetyl-CoA:oxaloacetate C-acetyltransferase (thioester-hydrolysing),CoA[c] + Citrate[c] <=> H2O[c] + Acetyl-CoA[c] + Oxaloacetate[c],2.3.3.1         2.3.3.3,( 102594559 and 102595372 and 102595659 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00352,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]",ATP[c] + CoA[c] + Citrate[c] <=> ADP[c] + Orthophosphate[c] + Acetyl-CoA[c] + Oxaloacetate[c],2.3.3.8,( 102585745 and 102584948 and 102595393 and 102579671 and 102588828 and 102603719 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00432,Succinate:CoA ligase (GDP-forming),CoA[c] + Succinate[c] + GTP[c] <=> Orthophosphate[c] + GDP[c] + Succinyl-CoA[c],6.2.1.4,( 102590419 and 102594891 ) or ( 102577781 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00405,Succinate:CoA ligase (ADP-forming),ATP[c] + Succinate[c] + CoA[c] <=> ADP[c] + Orthophosphate[c] + Succinyl-CoA[c],6.2.1.5,NA,-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00709,Isocitrate:NAD+ oxidoreductase (decarboxylating),NAD+[c] + Isocitrate[c] => NADH[c] + CO2[c] + 2-Oxoglutarate[c] + H+[c],1.1.1.41        1.1.1.286,( 102589944 and 102592957 and 102602245 and 102603033 ),0,1000,NA,c,Citrate cycle (TCA cycle)
R00727,Succinate:CoA ligase (IDP-forming),CoA[c] + Succinate[c] + ITP[c] <=> Orthophosphate[c] + Succinyl-CoA[c] + IDP[c],6.2.1.4,( 102590419 and 102594891 ) or ( 102577781 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R02164,Succinate:ubiquinone oxidoreductase,Succinate[c] + Ubiquinone[c] <=> Fumarate[c] + Ubiquinol[c],1.3.5.1,( 102604123 ) or ( 102597240 and 102589264 and 102597568 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R02570,succinyl-CoA:enzyme N6-(dihydrolipoyl)lysine S-succinyltransferase,Succinyl-CoA[c] + Enzyme N6-(dihydrolipoyl)lysine[c] <=> CoA[c] + [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine[c],2.3.1.61,( 102602931 and 102604382 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00268,oxalosuccinate carboxy-lyase (2-oxoglutarate-forming),Oxalosuccinate[c] <=> 2-Oxoglutarate[c] + CO2[c],1.1.1.42,( 102598317 and 102591365 and 102578331 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R01899,Isocitrate:NADP+ oxidoreductase,Isocitrate[c] + NADP+[c] <=> Oxalosuccinate[c] + NADPH[c] + H+[c],1.1.1.42,( 102598317 and 102591365 and 102578331 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R01900,isocitrate hydro-lyase (cis-aconitate-forming),Isocitrate[c] <=> cis-Aconitate[c] + H2O[c],4.2.1.3,( 102579951 and 102589351 and 102587698 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R01325,citrate hydro-lyase (cis-aconitate-forming),Citrate[c] <=> cis-Aconitate[c] + H2O[c],4.2.1.3,( 102579951 and 102589351 and 102587698 ),-1000,1000,NA,c,Citrate cycle (TCA cycle)
R00730,"L-tyrosine,NADPH:oxygen oxidoreductase (N-hydroxylating)",NADPH[c] + Oxygen[c] + H+[c] + L-Tyrosine[c] <=> H2O[c] + NADP+[c] + N-Hydroxy-L-tyrosine[c],1.14.13.41,NA,-1000,1000,NA,c,Cyanoamino acid metabolism
R02846,Cysteine hydrogen-sulfide-lyase (adding HCN),Cyanide[c] + Cysteine[c] <=> Hydrogen sulfide[c] + 3-Cyano-L-alanine[c],4.4.1.9,( 102601315 and 102604154 ),-1000,1000,NA,c,Cyanoamino acid metabolism
R04948,UDPglucose:(S)-4-hydroxymandelonitrile beta-D-glucosyltransferase,UDP-glucose[c] + Cyanohydrin[c] <=> UDP[c] + Cyanoglycoside[c],2.4.1.85,NA,-1000,1000,NA,c,Cyanoamino acid metabolism
R04949,Cyanoglycoside glucohydrolase,H2O[c] + Cyanoglycoside[c] <=> D-Glucose[c] + Cyanohydrin[c],3.2.1.21,( 102597190 and 102601570 and 102606299 and 102603190 and 102587220 and 102585327 and 102602430 and 102593844 and 102588295 and 102580126 ) or ( 102583088 and 102587222 and 102592848 and 102586879 and 102586545 and 102599864 and 102584844 and 102593436 and 102602599 and 102593011 ) or ( 102588353 and 102588686 and 102579818 and 102605187 and 102604517 and 102584301 and 102589015 and 102582742 and 107060801 and 102582394 and 102591084 ),-1000,1000,NA,c,Cyanoamino acid metabolism
R05728,"(Z)-4-hydroxyphenylacetaldehyde-oxime,NADPH:oxygen oxidoreductase",NADPH[c] + Oxygen[c] + H+[c] + (Z)-4-Hydroxyphenylacetaldehyde oxime[c] <=> 2 H2O[c] + NADP+[c] + (S)-4-Hydroxymandelonitrile[c],1.14.13.68,NA,-1000,1000,NA,c,Cyanoamino acid metabolism
R07190,,"N,N-Dihydroxy-L-tyrosine[c] <=> H2O[c] + CO2[c] + (Z)-4-Hydroxyphenylacetaldehyde oxime[c]",1.14.13.41,NA,-1000,1000,NA,c,Cyanoamino acid metabolism
R00586,acetyl-CoA:L-serine O-acetyltransferase,Acetyl-CoA[c] + L-Serine[c] => CoA[c] + O-Acetyl-L-serine[c],2.3.1.30,( 102595199 and 102590258 and 102586509 and 102605877 ),0,1000,NA,c,Cysteine and methionine metabolism
R00653,N-Formyl-L-methionine amidohydrolase,H2O[c] + N-Formyl-L-methionine[c] <=> Formate[c] + L-Methionine[c],3.5.1.31,NA,-1000,1000,NA,c,Cysteine and methionine metabolism
